#TX-LO frequency(Hz), tx scale, RX-LO frequency(Hz), min peak power, peak frequency tolerance (Hz), min sfdr(dBFS), min rssi, min peak
5725000000, 0.28, 5725000000, -24, 1000, 40, 38, -90
5725000000, 0.14, 5725000000, -30, 1000, 32, 44, -90
5725000000, 0.07, 5725000000, -36, 1000, 24, 50, -90
5875000000, 0.28, 5875000000, -24, 1000, 40, 38, -90
5875000000, 0.14, 5875000000, -30, 1000, 32, 44, -90
5875000000, 0.07, 5875000000, -36, 1000, 24, 50, -90
5800000000, 0.28, 5800000000, -24, 1000, 40, 38, -90
5800000000, 0.14, 5800000000, -30, 1000, 32, 44, -90
5800000000, 0.07, 5800000000, -36, 1000, 24, 50, -90
5800000000, 0.40, 5800000000, -32, 1000, 36, 45, -90
5800000000, 0.28, 5800000000, -24, 1000, 40, 38, -90
